blind_id,instance_id,model_blind,ambiguous_sentence,ambiguity_side,gold_reading_1,gold_reading_2,gold_readings_extra,continuation,human_label,notes
T3A-0169,60437,Model B,The study found that people who had a positive outlook on life were more likely to be physically active.,premise,The study found that the subset of people who had a positive outlook on life were also more likely to be physically active.,The study found that having a positive outlook on life caused people to be more likely to be physically active.,,"Caucasians and non-Caucasians of both sexes will have up to 6 points higher peak VO2 if they reported positive well-being, Lynn",,
T3A-0943,34579,Model B,The President is not required to comply with the law.,hypothesis,The office of the President is not beholden to the law.,The current President is not being held accountable to the law.,,"231,529 likes.",,
T3A-0736,138_c,Model A,"Alice said that Bob studied Spanish, and Charlie did too.",premise,"Alice said that Bob studied Spanish, and that Charlie did too.",Alice said that Bob studied Spanish; Charlie said it too.,,"So, we can conclude that Bob and Charlie studied the same language.",,
T3A-0075,24621,Model B,The high school students who were most likely to report drinking had more friends who drank.,premise,The high school students who were most likely to report drinking had a great number of friends who drank.,The high school students who were most likely to report drinking had a greater proportion of friends who drank.,,High availability of alcohol sources in high school was also associated with students being more likely to drink.,,
T3A-0023,16316,Model B,I don't think that the restaurant is very clean.,premise,I don't think that the restaurant is especially clean.,I think the restaurant is dirty.,,1.,,
T3A-0119,10_c,Model B,"Since I took office, Wisconsin now has the 2nd highest health care quality ranking in the country.",premise,"In the time since I took office, Wisconsin's highest health care quality ranking has improved to 2nd in the country.",I have taken office. Wisconsin currently has the 2nd highest health quality ranking in the country.,,"We are number 15, ranking ahead of both Rhode Island and Massachusetts, which is normally ranked first.",,
T3A-0268,55037,Model A,A large number of people are employed in the tourism industry.,premise,A large number of people in some group are employed in the tourism industry.,A large number of people in society are employed in the tourism industry.,,This sentence implies that the tourism industry employs a large number of people.,,
T3A-0903,78003,Model B,I have to complete this report by 5 p.m.,premise,I have to complete this report by 5 p.m. today.,I have to complete this report by 5 p.m. on the day that it's due,,6 p.m.,,
T3A-0841,73089,Model B,The data provides evidence that the treatment is effective.,premise,The data provides evidence indicating that the treatment is effective.,"The treatment is effective, and the data provides evidence for it.",,On the other hand removing one patient whose response was anomalous decreases,,
T3A-0426,14458,Model A,She likes to take a methodical approach to her work.,hypothesis,She tends to take a methodical approach to her work.,She enjoys taking a methodical approach to her work.,,( ),,
T3A-0715,121_c,Model B,The new software is also available in a Spanish-language version.,premise,"In addition to older software, the new software is also available in a Spanish-language version.","In addition to other languages, the new software is also available in a Spanish-language version.",,"Source Glassdoor More than two years after announcing plans to do so, Google has launched its online job search engine.",,
T3A-0976,1883,Model A,"In spite of these findings, many people still believe that extraterrestrial life exists.",premise,"In spite of these findings, many people still believe that extraterrestrial life exists, though many others do not.","In spite of these findings, many people still believe that extraterrestrial life exists; there may or may not be many others who disagree.",,18.,,
T3A-0056,37924,Model A,Change is good.,hypothesis,"In general, change is good.",Change is necessarily good.,,Not interested.,,
T3A-0195,6566,Model B,Just because I don't agree with you doesn't mean I hate you.,premise,"Despite not agreeing with you, that doesn't mean I hate you.",Merely not agreeing with you doesn't mean I hate you.,,I just didn't understand you.,,
T3A-0287,71750,Model B,The athlete will not be disqualified from the competition.,hypothesis,The athlete (a specific person) will not be disqualified from the competition.,The athlete (as a generic) will not be disqualified from the competition.,,5.,,
T3A-0380,50_c,Model A,John gave all his students a book on Derrida.,premise,John gave all his students copies of the same book on Derrida.,"John gave all his students a book, and all the books were on Derrida.",,Each book is 80 pages.,,
T3A-0489,55746,Model B,It is my belief that the earth is round.,premise,It is my understanding that the earth is round.,It is my conviction that the earth is round.,,4 billion people might disagree with me on this – http://www.prb.org/Publications/PRB%20Briefs/2008/Intcglob,,
T3A-1016,45119,Model A,You will be able to figure it out.,hypothesis,You are expected to be able to figure it out.,"You will, in reality, be able to figure it out.",,"The larger the facade, the more time it costs the mayor.",,
T3A-0184,22300,Model A,He didn't mean to hurt her feelings.,premise,"He didn't mean to hurt her feelings, but he did.","He didn't mean to hurt her feelings, whether or not he did.",,He was just being honest.,,
T3A-0431,56_c,Model B,I can't believe that he's telling the truth.,premise,"He is telling the truth, and I am in disbelief.",I am unable to form the belief that he is telling the truth.,,そう言いませんか?,,
T3A-0565,51339,Model B,I will not vote for the candidate.,premise,"I will vote, but not for the candidate.","I will not vote for the candidate, if I vote.",,"1,979 Likes, 88 Comments - Demi Lovato (@ddlovato) on Instagram: When you notice a prank in your ig live (?!",,
T3A-1044,76574,Model A,The dog's owner decided to put the dog down because it was too old and sick.,premise,The dog's owner decided to put the dog down solely because it was too old and sick.,The dog's owner decided to put the dog down partly because it was too old and sick.,,"So, the answer to the question Why did the dog's owner decide to put the dog down?",,
T3A-0855,28935,Model B,"Some nights, the baby is fed milk.",hypothesis,"At least some nights, the baby is fed milk.","Some nights, the baby is fed milk, but not all nights.",,"Other nights, the baby polishes off an entire bag of K.C.",,
T3A-0522,85343,Model A,"In this study, we sought to determine the extent to which people use social media.",premise,"In this study, we sought to determine the extent to which people use social media, possibly among other things.","In this study, we sought only to determine the extent to which people use social media.",,The research instrument was designed to measure the frequency of use of social media.,,
T3A-0479,97591,Model B,Other countries spend less money on defense than the United States.,hypothesis,Each other country spends less money on defense than the United States.,Other countries collectively spend less money on defense than the United States.,,52,,
T3A-0611,77314,Model B,The school district has to adopt a balanced budget.,premise,The school district has to adopt a budget that balances cost and revenue.,The school district has to adopt a budget that is well balanced between all its costs.,,A school district cannot set its budget for the current year at a lower rate than the previous year unless voters approve a new lower rate.,,
T3A-0634,136_c,Model A,I just made up the names in the math problem.,premise,I just created some names for the math problem.,I just used arbitrary names in the math problem.,,But I have had a problem like this in the past.,,
T3A-0332,93186,Model A,"They found that the more TV people watched, the more likely they were to be obese.",premise,"They found that the more TV people watched, the more likely they were to become obese.","They found that the more TV people watched, the the more likely it was that they were obese.",,"They found that the less TV people watched, the more likely they were to be obese.",,
T3A-0653,102113,Model B,It is important to remember that not all of the people who emigrated to the United States in the late 1800s were poor.,premise,"It is important to remember that although many of the people who emigrated to the United States in the late 1800s were poor, not all of them were.",It is important to remember that it is not the case that all of the people who emigrated to the United States in the late 1800s were poor.,,1920 Statue of Liberty - Washington D.,,
T3A-0936,26241,Model A,The cat slept through the storm.,premise,The cat slept through the duration of the storm.,The storm did not wake up the cat.,,OPTIONS: - unacceptable - acceptable The given sentence follows the subject-verb-object structure.,,
T3A-0092,86796,Model A,Trying a different strategy would be good.,hypothesis,Trying a different strategy will necessarily be good.,Trying a different strategy would be a good idea.,,"As for the other stuff you mentioned in the post, you can read about this here.",,
T3A-0884,96696,Model A,It's not my problem.,premise,It's not my issue.,It's not my question (the kind raised to inspire thought).,,"If you want to leave the market, you can.",,
T3A-0478,84747,Model A,The survey found that more than a third of Americans have a negative view of the news media.,premise,The survey concluded that more than a third of Americans have a negative view of the news media.,The survey revealed that more than a third of Americans have a negative view of the news media.,,What percentage of Americans have a negative view of the news media?,,
T3A-0995,82968,Model B,The company's decision to lay off workers was due to the downturn in the economy.,premise,The company's decision to lay off workers was due solely to the downturn in the economy.,"The company's decision to lay off workers was due, at least in part, to the downturn in the economy.",,7.,,
T3A-0052,96245,Model A,Many people in the town are unemployed.,premise,There are many individuals in the town who are unemployed.,Many people in the town are unemployed relative to the overall population.,,Many of the people have moved to the city.,,
T3A-0300,96018,Model A,"They discovered that the plant had, for the first time, produced a new type of flower.",premise,"They discovered that the plant had produced a new type of flower, which it had never done before.",They discovered that the plant had produced a new type of flower that it had never produced before.,,"The scientists thought that the plant had evolved into a different species, but the truth was that the plant had simply changed into a new form.",,
T3A-0877,135_c,Model B,I'll be impressed if you get his T shirt.,hypothesis,I'll be impressed if you understand his T shirt.,I'll be impressed if you acquire his T shirt.,,25 to 1 odds.,,
T3A-0985,57249,Model B,It is difficult to be a good role model for your children when you are not a good role model for yourself.,premise,It is challenging to be a good role model for your children when you are not a good role model for yourself.,You cannot be a good role model for your children without being a good role model for yourself.,,It does no one any good to set a bad example because there are only so many twists and turns and detours the human vehicle can endure without flipping over,,
