blind_id,human_label,notes,reading_1_entailment_score,reading_2_entailment_score,reading_1_nli_label,reading_2_nli_label
T3A-0169,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001083,0.042866,neutral,neutral
T3A-0943,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.111843,0.172388,contradiction,neutral
T3A-0736,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001490,0.001209,neutral,neutral
T3A-0075,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.006834,0.012627,neutral,neutral
T3A-0023,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.050189,0.020595,neutral,neutral
T3A-0119,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000677,0.004005,neutral,neutral
T3A-0268,reading_1,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.967957,0.811199,entailment,entailment
T3A-0903,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000796,0.001206,neutral,neutral
T3A-0841,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.005194,0.003059,neutral,neutral
T3A-0426,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.010018,0.016297,neutral,neutral
T3A-0715,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000721,0.000978,neutral,neutral
T3A-0976,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001080,0.002589,neutral,neutral
T3A-0056,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.003529,0.006910,neutral,contradiction
T3A-0195,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002849,0.117938,neutral,neutral
T3A-0287,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.388023,0.270072,neutral,neutral
T3A-0380,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001137,0.001001,neutral,neutral
T3A-0489,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.050281,0.009731,neutral,neutral
T3A-1016,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.010923,0.001684,neutral,neutral
T3A-0184,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001314,0.002578,neutral,neutral
T3A-0431,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.005824,0.013060,contradiction,neutral
T3A-0565,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.024589,0.016767,neutral,contradiction
T3A-1044,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000894,0.001116,neutral,neutral
T3A-0855,reading_1,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.846455,0.249837,entailment,neutral
T3A-0522,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.304456,0.423864,neutral,contradiction
T3A-0479,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.025506,0.087636,neutral,neutral
T3A-0611,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.247665,0.025768,neutral,neutral
T3A-0634,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000763,0.001552,neutral,neutral
T3A-0332,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000355,0.000369,contradiction,contradiction
T3A-0653,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.093036,0.175339,neutral,neutral
T3A-0936,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.011569,0.021483,contradiction,contradiction
T3A-0092,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.006992,0.002099,neutral,neutral
T3A-0884,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.039652,0.004328,neutral,contradiction
T3A-0478,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000665,0.000775,neutral,neutral
T3A-0995,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002235,0.007114,neutral,neutral
T3A-0052,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.011445,0.011758,neutral,neutral
T3A-0300,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000711,0.000699,neutral,neutral
T3A-0877,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.066966,0.017243,neutral,neutral
T3A-0985,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.202540,0.135636,neutral,neutral
T3A-0334,both_or_ambiguous,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.993093,0.973501,entailment,entailment
T3A-0224,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001014,0.000999,neutral,neutral
T3A-0201,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.130758,0.022719,neutral,neutral
T3A-0004,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001191,0.000869,neutral,neutral
T3A-0793,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.058905,0.012179,neutral,neutral
T3A-0881,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001316,0.043097,neutral,neutral
T3A-0596,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001227,0.001102,neutral,neutral
T3A-1006,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.051799,0.016588,contradiction,contradiction
T3A-0748,reading_1,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.842875,0.609467,entailment,entailment
T3A-0422,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.043430,0.005685,neutral,contradiction
T3A-0645,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001234,0.001073,neutral,neutral
T3A-1049,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.008347,0.011363,neutral,neutral
T3A-0791,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.218494,0.179585,neutral,neutral
T3A-0140,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001131,0.005311,neutral,neutral
T3A-0543,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.003978,0.005355,neutral,neutral
T3A-0950,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.054155,0.085822,neutral,neutral
T3A-0001,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000815,0.001022,neutral,neutral
