blind_id,instance_id,model_blind,actual_model,source_file,original_continuation_index
T3A-0001,19_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,97
T3A-0002,19_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,43
T3A-0003,19_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,13
T3A-0004,19_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,11
T3A-0005,104020,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,48
T3A-0006,104020,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,12
T3A-0007,104020,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,45
T3A-0008,104020,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,44
T3A-0009,51_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,77
T3A-0010,51_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,33
T3A-0011,51_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,5
T3A-0012,51_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,93
T3A-0013,43_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,58
T3A-0014,43_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,68
T3A-0015,43_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,15
T3A-0016,43_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,48
T3A-0017,391,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,10
T3A-0018,391,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,70
T3A-0019,391,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,37
T3A-0020,391,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,80
T3A-0021,25701,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,79
T3A-0022,25701,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,46
T3A-0023,25701,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,73
