blind_id,instance_id,model_blind,ambiguous_sentence,ambiguity_side,gold_reading_1,gold_reading_2,gold_readings_extra,continuation,human_label,notes
T3A-0061,104_c,Model B,"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.",premise,"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic — maybe even the only authentic — papyrus are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.","Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country. Though there are many places that sell authentic papyrus, some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.",,"About three by three feet, it is good value for 25$ to 30$ overlapping pages of painted papyrus.",,
T3A-0051,38194,Model A,Nancy Drew is not a role model for young girls.,hypothesis,Nancy Drew is not a good role model for young girls.,Nancy Drew is not perceived as a role model for young girls.,,She is a burglar and a pickpocket.,,
T3A-0003,19_c,Model A,I hope there are more interactive exhibits in the museum.,premise,I hope there are more exhibits that are interactive in the museum.,I hope there are exhibits that are more interactive in the museum.,,"Yes, I have been aware of the dark ride and the touch exhibit.",,
T3A-0100,28059,Model A,"The company has been in trouble for some time, and its stock prices have been falling steadily.",premise,"The company has been in trouble for some time, which has caused its stock prices to fall steadily.","The company has been in trouble for some time, and also its stock prices have been falling steadily.",,"In an effort to save money, the company has decided to close a lot of its manufacturing plants and lay off some employees.",,
T3A-0040,108_c,Model A,I've only lived in the northern part of Seattle.,premise,"In Seattle, I've only lived in the northern part.",I haven't lived anywhere in the world besides the northern part of Seattle.,,It doesn't get too hot in the summer.,,
T3A-0029,1502,Model B,A study done in 2006 found that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,premise,It was shown by a study done in 2006 that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,A study done in 2006 concluded that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,,"3 Researchers have also gathered impressive proof that, in fact, shallow breathing decreases your physical and mental performance.",,
T3A-0041,107_c,Model B,Desegregation was becoming disbanded in Charlotte thanks to the magnet schools.,hypothesis,Desegregation was fortunately becoming disbanded in Charlotte because of the magnet schools.,Desegregation was becoming disbanded in Charlotte at the fault of the magnet schools.,,The schools were an optimal individual for all African Americans but the Anti-Defy executives were opposed to the program for variety reasons.,,
T3A-0042,107_c,Model B,Desegregation was becoming disbanded in Charlotte thanks to the magnet schools.,hypothesis,Desegregation was fortunately becoming disbanded in Charlotte because of the magnet schools.,Desegregation was becoming disbanded in Charlotte at the fault of the magnet schools.,,1979 was the first year for the program to exist.,,
T3A-0075,38708,Model A,I wonder how he got the job.,premise,I don't know the process he went through to get the job.,I am skeptical that he was qualified to get the job.,,He seems like a bit of a prick.,,
T3A-0083,52_c,Model A,Giacomo believes several people in the room are counting cards.,premise,There are several individuals in the room who Giacomo believes to be counting cards.,Giacomo believes there are multiple people in the room counting cards.,,He counts the number of people in the room and counts 10.,,
T3A-0074,38708,Model B,I wonder how he got the job.,premise,I don't know the process he went through to get the job.,I am skeptical that he was qualified to get the job.,,1400 hours of on the job training!,,
T3A-0043,107_c,Model A,Desegregation was becoming disbanded in Charlotte thanks to the magnet schools.,hypothesis,Desegregation was fortunately becoming disbanded in Charlotte because of the magnet schools.,Desegregation was becoming disbanded in Charlotte at the fault of the magnet schools.,,1996-2003 Charlotte County Schools No.,,
T3A-0052,38194,Model A,Nancy Drew is not a role model for young girls.,hypothesis,Nancy Drew is not a good role model for young girls.,Nancy Drew is not perceived as a role model for young girls.,,"Nancy Drew is a fictional character from the book series, Nancy Drew Files.",,
T3A-0045,16316,Model B,I don't think that the restaurant is very clean.,premise,I don't think that the restaurant is especially clean.,I think the restaurant is dirty.,,The meat we had was a rather bland mix of meat parts and the gravy mainly helped those who enjoy the gravy part of the goulash,,
T3A-0046,16316,Model B,I don't think that the restaurant is very clean.,premise,I don't think that the restaurant is especially clean.,I think the restaurant is dirty.,,213 Red is located in 523 N.,,
