blind_id,instance_id,model_blind,actual_model,source_file,original_continuation_index
T3A-0001,19_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,78
T3A-0002,19_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,72
T3A-0003,104020,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,38
T3A-0004,104020,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,51
T3A-0005,51_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,70
T3A-0006,51_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,0
T3A-0007,43_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,38
T3A-0008,43_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,36
T3A-0009,391,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,26
T3A-0010,391,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,55
T3A-0011,25701,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,74
T3A-0012,25701,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,77
T3A-0013,17497,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,83
T3A-0014,17497,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,41
T3A-0015,1502,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,59
T3A-0016,1502,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,56
T3A-0017,8101,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,56
T3A-0018,8101,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,86
T3A-0019,108_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,27
T3A-0020,108_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,65
T3A-0021,107_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,60
T3A-0022,107_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,94
T3A-0023,16316,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,21
T3A-0024,16316,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,84
T3A-0025,38194,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,10
T3A-0026,38194,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,36
T3A-0027,40798,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,65
T3A-0028,40798,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,84
T3A-0029,95_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,81
T3A-0030,95_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,79
T3A-0031,104_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,42
T3A-0032,104_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,11
T3A-0033,3578,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,96
T3A-0034,3578,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,30
T3A-0035,79_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,86
T3A-0036,79_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,39
T3A-0037,38708,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,28
T3A-0038,38708,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,25
T3A-0039,84765,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,18
T3A-0040,84765,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,4
T3A-0041,52_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,5
T3A-0042,52_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,31
